,Hotel_Name,Rating,Price,region,Airport_Shuttle,Business_Centre,Facilities,Fitness_Centre,Restaurant,Room_Service,Spa,Swimming_Pool,Wellness_Centre
0,"Radisson Blu Hotel, Jeddah Al Salam",8.7,540.0,Jeddah,0,0,0,0,0,0,0,1,0
1,Holiday Inn JEDDAH GATEWAY,8.4,614.0,Jeddah,0,0,0,0,0,0,0,1,0
2,Golden New Palace,8.2,193.0,Jeddah,0,0,0,0,0,0,1,0,1
3,Habitat Hotel All Suites - Jeddah,7.4,375.0,Jeddah,0,0,0,0,1,0,0,1,0
4,Donatello Hotel Jeddah,8.1,472.0,Jeddah,0,0,0,0,0,0,0,1,0
5,Aster Hotel,7.5,307.0,Jeddah,0,0,0,0,0,0,0,0,0
6,Iridium 70 Hotel,8.9,335.0,Jeddah,0,0,0,0,0,0,0,1,0
7,Boudl Palestine,7.4,298.0,Jeddah,0,0,0,0,0,1,0,0,0
8,Movenpick Hotel Tahlia Jeddah,8.5,767.0,Jeddah,0,0,0,0,0,0,0,1,0
9,Shada Hotel Shati,8.8,468.0,Jeddah,0,0,0,0,0,0,0,1,0
10,Shangri-La Jeddah,8.3,1883.0,Jeddah,0,0,0,0,0,0,0,1,0
11,Al Eairy Furnished Apartments Jeddah 4,4.4,148.0,Jeddah,0,0,0,0,0,0,0,0,0
12,"Radisson Blu Hotel, Jeddah Plaza",8.2,385.0,Jeddah,0,0,0,0,0,0,0,1,0
13,Waldorf Astoria Jeddah - Qasr Al Sharq,9.2,1630.0,Jeddah,0,0,0,0,1,0,0,1,0
14,Wow Jeddah Hotel,8.4,211.0,Jeddah,0,0,0,0,0,0,0,1,0
15,Ewaa Express Hotel - Al Shati,8.6,353.0,Jeddah,0,0,0,0,0,0,1,0,1
16,Renz Hotel,6.9,172.0,Jeddah,0,0,0,0,1,1,0,0,0
17,OYO 589 Lavina House,5.5,141.0,Jeddah,0,0,0,0,0,0,0,0,0
18,Jeddah Hilton,8.0,998.0,Jeddah,0,0,0,0,0,0,0,1,0
19,Narcissus Resort & spa Obhur Jeddah,8.3,1500.0,Jeddah,0,0,0,0,0,0,0,1,0
20,Four Points by Sheraton Jeddah Corniche,8.2,495.0,Jeddah,0,0,0,0,0,0,0,1,0
21,Mövenpick Jeddah,7.6,316.0,Jeddah,0,0,0,0,1,0,0,1,0
22,Joudyan Jeddah Red Sea Mall,8.1,847.0,Jeddah,0,0,0,0,1,0,1,0,1
23,The Ritz-Carlton Jeddah,9.0,1227.0,Jeddah,0,0,0,0,1,0,0,0,0
24,"The Hotel Galleria Jeddah, Curio Collection by Hilton",8.4,799.0,Jeddah,0,0,0,0,1,0,0,0,0
25,Aster Hotel,7.5,283.0,Jeddah,0,0,0,0,0,0,0,0,0
27,Movenpick Hotel Tahlia Jeddah,8.5,638.0,Jeddah,0,0,0,0,0,0,0,1,0
30,Sheraton Jeddah Hotel,7.7,650.0,Jeddah,0,0,0,0,1,0,0,0,0
31,Boudl Quraish,8.6,355.0,Jeddah,0,0,0,0,0,0,0,1,0
32,ibis Jeddah City Center,8.4,237.0,Jeddah,0,0,0,0,1,0,0,0,0
33,Narcissus 88 Boutique Hotel Jeddah,9.1,1086.0,Jeddah,0,0,0,0,0,0,0,1,0
34,Boudl Al Tahlia,8.4,338.0,Jeddah,0,0,0,0,0,0,0,1,0
35,Issham Hotel,6.6,423.0,Jeddah,0,0,0,0,0,0,1,0,1
36,Tu Jardin Al Harmain Jeddah,8.2,259.0,Jeddah,0,0,0,0,0,1,0,0,0
37,Seafront Luxury Suites Jeddah Corniche,7.9,874.0,Jeddah,0,0,0,0,0,1,0,0,0
38,Rosemond Hotel,8.3,339.0,Jeddah,0,0,0,0,0,0,0,1,0
39,Spectrums Al Salamah,8.1,499.0,Jeddah,0,0,0,0,0,0,0,1,0
40,Marlo Hotel,8.6,372.0,Jeddah,0,0,0,0,0,0,0,1,0
41,Orans Suites 4,7.8,550.0,Jeddah,0,0,0,0,0,0,0,1,0
42,Diwan Residence Hotel Alnaeem,8.4,271.0,Jeddah,0,0,0,0,1,0,0,0,0
43,PRIMOTEL Suites Al Salamah,8.4,222.0,Jeddah,0,0,0,0,0,1,0,0,0
44,Aquila Hotel,8.2,332.0,Jeddah,0,0,0,0,0,0,0,1,0
45,فندق ميلانا milana hotel,8.0,237.0,Jeddah,0,0,0,0,0,0,0,1,0
46,Qamar Hotel Jeddah,8.4,372.0,Jeddah,0,0,0,0,0,0,0,1,0
